location_id,ihme_loc_id,location_name,level
1,G,Global,0
31,S2,"Central Europe, Eastern Europe, and Central Asia",1
32,R2,Central Asia,2
33,ARM,Armenia,3
34,AZE,Azerbaijan,3
35,GEO,Georgia,3
36,KAZ,Kazakhstan,3
37,KGZ,Kyrgyzstan,3
38,MNG,Mongolia,3
39,TJK,Tajikistan,3
40,TKM,Turkmenistan,3
41,UZB,Uzbekistan,3
42,R8,Central Europe,2
43,ALB,Albania,3
44,BIH,Bosnia and Herzegovina,3
45,BGR,Bulgaria,3
46,HRV,Croatia,3
47,CZE,Czech Republic,3
48,HUN,Hungary,3
49,MKD,Macedonia,3
50,MNE,Montenegro,3
51,POL,Poland,3
53660,POL_53660,Dolnośląskie,4
53661,POL_53661,Kujawsko-Pomorskie,4
53662,POL_53662,Łódzkie,4
53663,POL_53663,Lubelskie,4
53664,POL_53664,Lubuskie,4
53665,POL_53665,Małopolskie,4
53666,POL_53666,Mazowieckie,4
53667,POL_53667,Opolskie,4
53668,POL_53668,Podkarpackie,4
53669,POL_53669,Podlaskie,4
53670,POL_53670,Pomorskie,4
53671,POL_53671,Śląskie,4
53672,POL_53672,Świętokrzyskie,4
53673,POL_53673,Warmińsko-Mazurskie,4
53674,POL_53674,Wielkopolskie,4
53675,POL_53675,Zachodniopomorskie,4
52,ROU,Romania,3
53,SRB,Serbia,3
54,SVK,Slovakia,3
55,SVN,Slovenia,3
56,R9,Eastern Europe,2
57,BLR,Belarus,3
58,EST,Estonia,3
59,LVA,Latvia,3
60,LTU,Lithuania,3
61,MDA,Moldova,3
62,RUS,Russian Federation,3
44971,RUS_44971,Altai kray,4
44983,RUS_44983,Amur oblast,4
44924,RUS_44924,Arkhangelsk oblast without Nenets autonomous district,4
44936,RUS_44936,Astrakhan oblast,4
44903,RUS_44903,Belgorod oblast,4
44904,RUS_44904,Bryansk oblast,4
44945,RUS_44945,Chechen Republic,4
44966,RUS_44966,Chelyabinsk oblast,4
44987,RUS_44987,Chukchi autonomous area,4
44952,RUS_44952,Chuvash Republic,4
44974,RUS_44974,Irkutsk oblast,4
44907,RUS_44907,Ivanovo oblast,4
44986,RUS_44986,Jewish autonomous oblast,4
44942,RUS_44942,Kabardian-Balkar Republic,4
44926,RUS_44926,Kaliningrad oblast,4
44908,RUS_44908,Kaluga oblast,4
44980,RUS_44980,Kamchatka kray,4
44943,RUS_44943,Karachaev-Chercassian Republic,4
44975,RUS_44975,Kemerovo oblast,4
44982,RUS_44982,Khabarovsk kray,4
44963,RUS_44963,Khanty-Mansi autonomous area,4
44954,RUS_44954,Kirov oblast,4
44922,RUS_44922,Komi Republic,4
44909,RUS_44909,Kostroma oblast,4
44935,RUS_44935,Krasnodar kray,4
44973,RUS_44973,Krasnoyarsk kray,4
44961,RUS_44961,Kurgan oblast,4
44910,RUS_44910,Kursk oblast,4
44927,RUS_44927,Leningrad oblast,4
44911,RUS_44911,Lipetzk oblast,4
44984,RUS_44984,Magadan oblast,4
44920,RUS_44920,Moscow City,4
44912,RUS_44912,Moscow oblast,4
44928,RUS_44928,Murmansk oblast,4
44923,RUS_44923,Nenets autonomous district,4
44955,RUS_44955,Nizhny Novgorod oblast,4
44929,RUS_44929,Novgorod oblast,4
44976,RUS_44976,Novosibirsk oblast,4
44977,RUS_44977,Omsk oblast,4
44956,RUS_44956,Orenburg oblast,4
44913,RUS_44913,Oryol oblast,4
44957,RUS_44957,Penza oblast,4
44953,RUS_44953,Perm kray,4
44981,RUS_44981,Primorsky kray,4
44930,RUS_44930,Pskov oblast,4
44932,RUS_44932,Republic of Adygeya,4
44967,RUS_44967,Republic of Altai,4
44947,RUS_44947,Republic of Bashkortostan,4
44968,RUS_44968,Republic of Buryatia,4
44940,RUS_44940,Republic of Dagestan,4
44941,RUS_44941,Republic of Ingushetia,4
44933,RUS_44933,Republic of Kalmykia,4
44921,RUS_44921,Republic of Karelia,4
44970,RUS_44970,Republic of Khakasia,4
44948,RUS_44948,Republic of Mariy El,4
44949,RUS_44949,Republic of Mordovia,4
44944,RUS_44944,Republic of North Ossetia-Alania,4
44979,RUS_44979,Republic of Sakha (Yakutia),4
44950,RUS_44950,Republic of Tatarstan,4
44969,RUS_44969,Republic of Tuva,4
44938,RUS_44938,Rostov oblast,4
44914,RUS_44914,Ryazan oblast,4
44985,RUS_44985,Sakhalin oblast,4
44958,RUS_44958,Samara oblast,4
44931,RUS_44931,Sankt-Petersburg,4
44959,RUS_44959,Saratov oblast,4
44915,RUS_44915,Smolensk oblast,4
44946,RUS_44946,Stavropol kray,4
44962,RUS_44962,Sverdlovsk oblast,4
44916,RUS_44916,Tambov oblast,4
44978,RUS_44978,Tomsk oblast,4
44918,RUS_44918,Tula oblast,4
44917,RUS_44917,Tver oblast,4
44965,RUS_44965,Tyumen oblast without autonomous areas,4
44951,RUS_44951,Udmurt Republic,4
44960,RUS_44960,Ulyanovsk oblast,4
44905,RUS_44905,Vladimir oblast,4
44937,RUS_44937,Volgograd oblast,4
44925,RUS_44925,Vologda oblast,4
44906,RUS_44906,Voronezh oblast,4
44964,RUS_44964,Yamalo-Nenets autonomous area,4
44919,RUS_44919,Yaroslavl oblast,4
44972,RUS_44972,Zabaikalsk kray,4
63,UKR,Ukraine,3
44934,UKR_44934,Republic of Crimea,4
44939,UKR_44939,Sevastopol,4
50559,UKR_50559,Ukraine (without Crimea & Sevastopol),4
64,S1,High-income,1
70,R6,Australasia,2
71,AUS,Australia,3
72,NZL,New Zealand,3
44850,NZL_44850,New Zealand Maori population,4
44851,NZL_44851,New Zealand non-Maori population,4
65,R1,High-income Asia Pacific,2
66,BRN,Brunei,3
67,JPN,Japan,3
35446,JPN_35446,Aichi,4
35428,JPN_35428,Akita,4
35425,JPN_35425,Aomori,4
35435,JPN_35435,Chiba,4
35461,JPN_35461,Ehime,4
35441,JPN_35441,Fukui,4
35463,JPN_35463,Fukuoka,4
35430,JPN_35430,Fukushima,4
35444,JPN_35444,Gifu,4
35433,JPN_35433,Gunma,4
35457,JPN_35457,Hiroshima,4
35424,JPN_35424,Hokkaidō,4
35451,JPN_35451,Hyōgo,4
35431,JPN_35431,Ibaraki,4
35440,JPN_35440,Ishikawa,4
35426,JPN_35426,Iwate,4
35460,JPN_35460,Kagawa,4
35469,JPN_35469,Kagoshima,4
35437,JPN_35437,Kanagawa,4
35462,JPN_35462,Kōchi,4
35466,JPN_35466,Kumamoto,4
35449,JPN_35449,Kyōto,4
35447,JPN_35447,Mie,4
35427,JPN_35427,Miyagi,4
35468,JPN_35468,Miyazaki,4
35443,JPN_35443,Nagano,4
35465,JPN_35465,Nagasaki,4
35452,JPN_35452,Nara,4
35438,JPN_35438,Niigata,4
35467,JPN_35467,Ōita,4
35456,JPN_35456,Okayama,4
35470,JPN_35470,Okinawa,4
35450,JPN_35450,Ōsaka,4
35464,JPN_35464,Saga,4
35434,JPN_35434,Saitama,4
35448,JPN_35448,Shiga,4
35455,JPN_35455,Shimane,4
35445,JPN_35445,Shizuoka,4
35432,JPN_35432,Tochigi,4
35459,JPN_35459,Tokushima,4
35436,JPN_35436,Tōkyō,4
35454,JPN_35454,Tottori,4
35439,JPN_35439,Toyama,4
35453,JPN_35453,Wakayama,4
35429,JPN_35429,Yamagata,4
35458,JPN_35458,Yamaguchi,4
35442,JPN_35442,Yamanashi,4
68,KOR,South Korea,3
69,SGP,Singapore,3
100,R16,High-income North America,2
101,CAN,Canada,3
349,GRL,Greenland,3
102,USA,United States,3
523,USA_523,Alabama,4
524,USA_524,Alaska,4
525,USA_525,Arizona,4
526,USA_526,Arkansas,4
527,USA_527,California,4
528,USA_528,Colorado,4
529,USA_529,Connecticut,4
530,USA_530,Delaware,4
531,USA_531,District of Columbia,4
532,USA_532,Florida,4
533,USA_533,Georgia,4
534,USA_534,Hawaii,4
535,USA_535,Idaho,4
536,USA_536,Illinois,4
537,USA_537,Indiana,4
538,USA_538,Iowa,4
539,USA_539,Kansas,4
540,USA_540,Kentucky,4
541,USA_541,Louisiana,4
542,USA_542,Maine,4
543,USA_543,Maryland,4
544,USA_544,Massachusetts,4
545,USA_545,Michigan,4
546,USA_546,Minnesota,4
547,USA_547,Mississippi,4
548,USA_548,Missouri,4
549,USA_549,Montana,4
550,USA_550,Nebraska,4
551,USA_551,Nevada,4
552,USA_552,New Hampshire,4
553,USA_553,New Jersey,4
554,USA_554,New Mexico,4
555,USA_555,New York,4
556,USA_556,North Carolina,4
557,USA_557,North Dakota,4
558,USA_558,Ohio,4
559,USA_559,Oklahoma,4
560,USA_560,Oregon,4
561,USA_561,Pennsylvania,4
562,USA_562,Rhode Island,4
563,USA_563,South Carolina,4
564,USA_564,South Dakota,4
565,USA_565,Tennessee,4
566,USA_566,Texas,4
567,USA_567,Utah,4
568,USA_568,Vermont,4
569,USA_569,Virginia,4
570,USA_570,Washington,4
571,USA_571,West Virginia,4
572,USA_572,Wisconsin,4
573,USA_573,Wyoming,4
96,R13,Southern Latin America,2
97,ARG,Argentina,3
98,CHL,Chile,3
99,URY,Uruguay,3
73,R10,Western Europe,2
74,AND,Andorra,3
75,AUT,Austria,3
76,BEL,Belgium,3
77,CYP,Cyprus,3
78,DNK,Denmark,3
79,FIN,Finland,3
80,FRA,France,3
81,DEU,Germany,3
82,GRC,Greece,3
83,ISL,Iceland,3
84,IRL,Ireland,3
85,ISR,Israel,3
86,ITA,Italy,3
35507,ITA_35507,Abruzzo,4
35511,ITA_35511,Basilicata,4
35512,ITA_35512,Calabria,4
35509,ITA_35509,Campania,4
35502,ITA_35502,Emilia-Romagna,4
35501,ITA_35501,Friuli-Venezia Giulia,4
35506,ITA_35506,Lazio,4
35496,ITA_35496,Liguria,4
35497,ITA_35497,Lombardia,4
35505,ITA_35505,Marche,4
35508,ITA_35508,Molise,4
35494,ITA_35494,Piemonte,4
35498,ITA_35498,Provincia autonoma di Bolzano,4
35499,ITA_35499,Provincia autonoma di Trento,4
35510,ITA_35510,Puglia,4
35514,ITA_35514,Sardegna,4
35513,ITA_35513,Sicilia,4
35503,ITA_35503,Toscana,4
35504,ITA_35504,Umbria,4
35495,ITA_35495,Valle d'Aosta,4
35500,ITA_35500,Veneto,4
87,LUX,Luxembourg,3
88,MLT,Malta,3
89,NLD,Netherlands,3
90,NOR,Norway,3
4914,NOR_4914,Østfold,4
4911,NOR_4911,Akershus,4
4918,NOR_4918,Aust-Agder,4
4915,NOR_4915,Buskerud,4
4928,NOR_4928,Finnmark,4
4912,NOR_4912,Hedmark,4
4921,NOR_4921,Hordaland,4
4923,NOR_4923,Møre og Romsdal,4
4926,NOR_4926,Nordland,4
4913,NOR_4913,Oppland,4
4910,NOR_4910,Oslo,4
4920,NOR_4920,Rogaland,4
4922,NOR_4922,Sogn og Fjordane,4
4917,NOR_4917,Telemark,4
53432,NOR_53432,Trøndelag,4
4927,NOR_4927,Troms,4
4919,NOR_4919,Vest-Agder,4
4916,NOR_4916,Vestfold,4
91,PRT,Portugal,3
367,MCO,Monaco,3
92,ESP,Spain,3
93,SWE,Sweden,3
4944,SWE_4944,Stockholm,4
4940,SWE_4940,Sweden except Stockholm,4
94,CHE,Switzerland,3
396,SMR,San Marino,3
95,GBR,United Kingdom,3
4749,GBR_4749,England,4
4621,GBR_4621,East Midlands,5
44697,GBR_44697,Derby,6
44698,GBR_44698,Derbyshire,6
44701,GBR_44701,Leicester,6
44694,GBR_44694,Leicestershire,6
44695,GBR_44695,Lincolnshire,6
44693,GBR_44693,Northamptonshire,6
44700,GBR_44700,Nottingham,6
44699,GBR_44699,Nottinghamshire,6
44696,GBR_44696,Rutland,6
4623,GBR_4623,East of England,5
44716,GBR_44716,Bedford,6
44721,GBR_44721,Cambridgeshire,6
44717,GBR_44717,Central Bedfordshire,6
44720,GBR_44720,Essex,6
44719,GBR_44719,Hertfordshire,6
44726,GBR_44726,Luton,6
44723,GBR_44723,Norfolk,6
44725,GBR_44725,Peterborough,6
44724,GBR_44724,Southend-on-Sea,6
44718,GBR_44718,Suffolk,6
44722,GBR_44722,Thurrock,6
4624,GBR_4624,Greater London,5
44754,GBR_44754,Barking and Dagenham,6
44729,GBR_44729,Barnet,6
44732,GBR_44732,Bexley,6
44735,GBR_44735,Brent,6
44731,GBR_44731,Bromley,6
44748,GBR_44748,Camden,6
44742,GBR_44742,Croydon,6
44744,GBR_44744,Ealing,6
44741,GBR_44741,Enfield,6
44745,GBR_44745,Greenwich,6
44756,GBR_44756,Hackney,6
44743,GBR_44743,Hammersmith and Fulham,6
44755,GBR_44755,Haringey,6
44740,GBR_44740,Harrow,6
44737,GBR_44737,Havering,6
44736,GBR_44736,Hillingdon,6
44751,GBR_44751,Hounslow,6
44757,GBR_44757,Islington,6
44728,GBR_44728,Kensington and Chelsea,6
44738,GBR_44738,Kingston upon Thames,6
44749,GBR_44749,Lambeth,6
44750,GBR_44750,Lewisham,6
44734,GBR_44734,Merton,6
44753,GBR_44753,Newham,6
44733,GBR_44733,Redbridge,6
44727,GBR_44727,Richmond upon Thames,6
44752,GBR_44752,Southwark,6
44739,GBR_44739,Sutton,6
44758,GBR_44758,Tower Hamlets,6
44747,GBR_44747,Waltham Forest,6
44746,GBR_44746,Wandsworth,6
44730,GBR_44730,Westminster,6
4618,GBR_4618,North East England,5
44649,GBR_44649,County Durham,6
44643,GBR_44643,Darlington,6
44650,GBR_44650,Gateshead,6
44654,GBR_44654,Hartlepool,6
44651,GBR_44651,Middlesbrough,6
44646,GBR_44646,Newcastle upon Tyne,6
44647,GBR_44647,North Tyneside,6
44644,GBR_44644,Northumberland,6
44648,GBR_44648,Redcar and Cleveland,6
44652,GBR_44652,South Tyneside,6
44645,GBR_44645,Stockton-on-Tees,6
44653,GBR_44653,Sunderland,6
4619,GBR_4619,North West England,5
44674,GBR_44674,Blackburn with Darwen,6
44676,GBR_44676,Blackpool,6
44662,GBR_44662,Bolton,6
44664,GBR_44664,Bury,6
44655,GBR_44655,Cheshire East,6
44658,GBR_44658,Cheshire West and Chester,6
44661,GBR_44661,Cumbria,6
44670,GBR_44670,Halton,6
44675,GBR_44675,Knowsley,6
44660,GBR_44660,Lancashire,6
44671,GBR_44671,Liverpool,6
44677,GBR_44677,Manchester,6
44667,GBR_44667,Oldham,6
44668,GBR_44668,Rochdale,6
44673,GBR_44673,Salford,6
44659,GBR_44659,Sefton,6
44665,GBR_44665,St Helens,6
44656,GBR_44656,Stockport,6
44672,GBR_44672,Tameside,6
44657,GBR_44657,Trafford,6
44666,GBR_44666,Warrington,6
44669,GBR_44669,Wigan,6
44663,GBR_44663,Wirral,6
4625,GBR_4625,South East England,5
44765,GBR_44765,Bracknell Forest,6
44770,GBR_44770,Brighton and Hove,6
44760,GBR_44760,Buckinghamshire,6
44772,GBR_44772,East Sussex,6
44764,GBR_44764,Hampshire,6
44774,GBR_44774,Isle of Wight,6
44769,GBR_44769,Kent,6
44771,GBR_44771,Medway,6
44775,GBR_44775,Milton Keynes,6
44767,GBR_44767,Oxfordshire,6
44773,GBR_44773,Portsmouth,6
44768,GBR_44768,Reading,6
44777,GBR_44777,Slough,6
44776,GBR_44776,Southampton,6
44761,GBR_44761,Surrey,6
44763,GBR_44763,West Berkshire,6
44766,GBR_44766,West Sussex,6
44762,GBR_44762,Windsor and Maidenhead,6
44759,GBR_44759,Wokingham,6
4626,GBR_4626,South West England,5
44784,GBR_44784,Bath and North East Somerset,6
44790,GBR_44790,Bournemouth,6
44789,GBR_44789,"Bristol, City of",6
44791,GBR_44791,Cornwall,6
44782,GBR_44782,Devon,6
44779,GBR_44779,Dorset,6
44785,GBR_44785,Gloucestershire,6
44781,GBR_44781,North Somerset,6
44792,GBR_44792,Plymouth,6
44783,GBR_44783,Poole,6
44786,GBR_44786,Somerset,6
44778,GBR_44778,South Gloucestershire,6
44787,GBR_44787,Swindon,6
44788,GBR_44788,Torbay,6
44780,GBR_44780,Wiltshire,6
4622,GBR_4622,West Midlands,5
44714,GBR_44714,Birmingham,6
44709,GBR_44709,Coventry,6
44708,GBR_44708,Dudley,6
44703,GBR_44703,"Herefordshire, County of",6
44715,GBR_44715,Sandwell,6
44705,GBR_44705,Shropshire,6
44704,GBR_44704,Solihull,6
44707,GBR_44707,Staffordshire,6
44711,GBR_44711,Stoke-on-Trent,6
44710,GBR_44710,Telford and Wrekin,6
44712,GBR_44712,Walsall,6
44702,GBR_44702,Warwickshire,6
44713,GBR_44713,Wolverhampton,6
44706,GBR_44706,Worcestershire,6
4620,GBR_4620,Yorkshire and the Humber,5
44692,GBR_44692,Barnsley,6
44684,GBR_44684,Bradford,6
44682,GBR_44682,Calderdale,6
44690,GBR_44690,Doncaster,6
44679,GBR_44679,East Riding of Yorkshire,6
44691,GBR_44691,"Kingston upon Hull, City of",6
44685,GBR_44685,Kirklees,6
44686,GBR_44686,Leeds,6
44681,GBR_44681,North East Lincolnshire,6
44683,GBR_44683,North Lincolnshire,6
44678,GBR_44678,North Yorkshire,6
44689,GBR_44689,Rotherham,6
44687,GBR_44687,Sheffield,6
44688,GBR_44688,Wakefield,6
44680,GBR_44680,York,6
433,GBR_433,Northern Ireland,4
434,GBR_434,Scotland,4
4636,GBR_4636,Wales,4
103,S7,Latin America and Caribbean,1
120,R11,Andean Latin America,2
121,BOL,Bolivia,3
122,ECU,Ecuador,3
123,PER,Peru,3
104,R7,Caribbean,2
105,ATG,Antigua and Barbuda,3
106,BHS,The Bahamas,3
107,BRB,Barbados,3
108,BLZ,Belize,3
305,BMU,Bermuda,3
109,CUB,Cuba,3
110,DMA,Dominica,3
111,DOM,Dominican Republic,3
112,GRD,Grenada,3
113,GUY,Guyana,3
114,HTI,Haiti,3
115,JAM,Jamaica,3
385,PRI,Puerto Rico,3
393,KNA,Saint Kitts and Nevis,3
116,LCA,Saint Lucia,3
117,VCT,Saint Vincent and the Grenadines,3
118,SUR,Suriname,3
119,TTO,Trinidad and Tobago,3
422,VIR,"Virgin Islands, U.S.",3
124,R12,Central Latin America,2
125,COL,Colombia,3
126,CRI,Costa Rica,3
127,SLV,El Salvador,3
128,GTM,Guatemala,3
129,HND,Honduras,3
130,MEX,Mexico,3
4643,MEX_4643,Aguascalientes,4
4644,MEX_4644,Baja California,4
4645,MEX_4645,Baja California Sur,4
4646,MEX_4646,Campeche,4
4649,MEX_4649,Chiapas,4
4650,MEX_4650,Chihuahua,4
4647,MEX_4647,Coahuila,4
4648,MEX_4648,Colima,4
4652,MEX_4652,Durango,4
4653,MEX_4653,Guanajuato,4
4654,MEX_4654,Guerrero,4
4655,MEX_4655,Hidalgo,4
4656,MEX_4656,Jalisco,4
4657,MEX_4657,México,4
4651,MEX_4651,Mexico City,4
4658,MEX_4658,Michoacán de Ocampo,4
4659,MEX_4659,Morelos,4
4660,MEX_4660,Nayarit,4
